country,country_code,latitude,longitude
Unknown,Unknown,0.0,0.0
Unknown,Unknown,-22.9667,-44.3167
Unknown,Unknown,20.8333,71.4667
Unknown,Unknown,-33.1564,115.6764
Unknown,Unknown,11.75,122.3333
Unknown,Unknown,-31.6667,152.8333
Unknown,Unknown,33.4333,127.2667
Unknown,Unknown,-3.0,151.0
Unknown,Unknown,1.1667,44.1667
Unknown,Unknown,27.3333,35.6667
Unknown,Unknown,-7.0,115.5
Unknown,Unknown,-20.0,57.0
Unknown,Unknown,38.1833,15.5667
Unknown,Unknown,9.3333,80.8333
Unknown,Unknown,32.1167,121.8
Unknown,Unknown,39.0,-0.0333
Unknown,Unknown,26.6667,50.15
Unknown,Unknown,34.72,137.305
Unknown,Unknown,31.3333,121.6667
Unknown,Unknown,12.5,-137.7
Unknown,Unknown,11.7,-137.8
Unknown,Unknown,55.1833,-162.55
Oman,OM,18.6912,54.6836
Oman,OM,18.6881,54.6787
Oman,OM,18.7071,54.1831
Oman,OM,18.7291,54.1875
Oman,OM,18.7888,54.4186
Oman,OM,18.7177,54.1999
Oman,OM,18.7254,54.1872
Oman,OM,18.7288,54.1905
Oman,OM,18.7357,54.1921
Oman,OM,18.7373,54.1954
Oman,OM,18.7405,54.1996
Oman,OM,19.1389,54.8814
Oman,OM,19.1446,54.8825
Oman,OM,19.1536,54.7127
Oman,OM,19.2578,54.7819
Oman,OM,19.1786,54.8929
Oman,OM,19.2407,54.8929
Oman,OM,19.161,54.7064
Oman,OM,19.2018,54.7837
Oman,OM,19.1414,54.6593
Oman,OM,19.1667,54.6569
Oman,OM,19.3246,54.8239
Oman,OM,19.2279,54.8537
Oman,OM,19.1855,54.658
Oman,OM,19.1201,54.814
Oman,OM,19.1128,54.8236
Oman,OM,19.1161,54.8228
Oman,OM,19.1121,54.8202
Oman,OM,19.106,54.8144
Oman,OM,19.1095,54.8162
Oman,OM,19.1079,54.8127
Oman,OM,19.1098,54.8174
Oman,OM,19.1141,54.8164
Oman,OM,19.1073,54.6073
Oman,OM,19.1111,54.6156
Oman,OM,19.0682,54.7751
Oman,OM,19.1982,54.8823
Oman,OM,19.1958,54.8619
Oman,OM,19.2028,54.6556
Oman,OM,19.2028,54.6005
Oman,OM,19.1379,54.667
Oman,OM,19.1787,54.6981
Oman,OM,18.1928,53.808
Oman,OM,18.6506,53.9249
Oman,OM,18.660800000000002,53.9046
Oman,OM,18.9621,54.1454
Oman,OM,18.9942,54.1814
Oman,OM,19.1816,54.6874
Oman,OM,19.1895,54.642
Oman,OM,19.1937,54.6375
Oman,OM,19.1937,54.7766
Oman,OM,19.2037,54.7766
Oman,OM,19.1055,54.8381
Oman,OM,19.1079,54.81
Oman,OM,19.1071,54.8164
Oman,OM,19.1195,54.8356
Oman,OM,19.0911,54.7963
Oman,OM,19.0992,54.8007
Oman,OM,19.1073,54.7868
Oman,OM,19.1207,54.7787
Oman,OM,19.1266,54.803
Oman,OM,19.0904,54.0875
Oman,OM,19.0982,54.8066
Oman,OM,19.098,54.8036
Oman,OM,19.1046,54.8094
Oman,OM,19.1078,54.8122
Oman,OM,19.1202,54.797
Oman,OM,19.1163,54.8095
Oman,OM,19.1005,54.7729
Oman,OM,19.0991,54.8067
Oman,OM,19.101,54.8069
Oman,OM,19.0854,54.7513
Oman,OM,19.2032,54.6056
Oman,OM,19.2063,54.6083
Oman,OM,19.213,54.611
Oman,OM,19.2133,54.6291
Oman,OM,19.2216,54.6248
Oman,OM,19.224,54.6322
Oman,OM,19.2663,54.6714
Oman,OM,19.2716,54.6696
Oman,OM,19.2933,54.6873
Oman,OM,19.3032,54.6985
Oman,OM,19.3124,54.7119
Oman,OM,19.307,54.7135
Oman,OM,19.3127,54.7189
Oman,OM,19.3454,54.7351
Oman,OM,19.3445,54.7283
Oman,OM,19.3415,54.725
Oman,OM,19.3533,54.7402
Oman,OM,19.3751,54.7485
Oman,OM,19.4118,54.7619
Oman,OM,19.4067,54.7582
Oman,OM,19.4136,54.7687
Oman,OM,19.4212,54.7952
Oman,OM,19.4298,54.804
Oman,OM,19.2817,54.83
Oman,OM,19.2367,54.7583
Oman,OM,19.3833,54.595
Oman,OM,19.187,54.7773
Oman,OM,19.1033,54.8283
Oman,OM,19.3083,54.5517
Oman,OM,19.1483,54.8033
Oman,OM,19.165,54.7767
Oman,OM,19.1733,54.875
