"","reclat","reclong","lat_lng"
"1",50.775,6.0833,"50.775,6.0833"
"2",56.1833,10.2333,"56.1833,10.2333"
"3",54.2167,-113,"54.2167,-113"
"4",16.8833,-99.9,"16.8833,-99.9"
"5",-33.1667,-64.95,"-33.1667,-64.95"
"6",32.1,71.8,"32.1,71.8"
"7",44.8333,95.1667,"44.8333,95.1667"
"8",44.2167,0.6167,"44.2167,0.6167"
"9",-31.6,-65.2333,"-31.6,-65.2333"
"10",-30.8667,-64.55,"-30.8667,-64.55"
"11",16.3981,-9.5703,"16.3981,-9.5703"
"12",19.0833,8.3833,"19.0833,8.3833"
"13",50.6667,2.3333,"50.6667,2.3333"
"14",29.5167,35.05,"29.5167,35.05"
"15",29.7167,77.95,"29.7167,77.95"
"16",8.9167,8.4333,"8.9167,8.4333"
"17",39.9167,42.8167,"39.9167,42.8167"
"18",24.4167,39.5167,"24.4167,39.5167"
"19",13.6603,28.96,"13.6603,28.96"
"20",44.1167,4.0833,"44.1167,4.0833"
"21",44.65,11.0167,"44.65,11.0167"
"22",2,22.6667,"2,22.6667"
"23",45.8213,6.0153,"45.8213,6.0153"
"24",51.7833,-1.7833,"51.7833,-1.7833"
"25",36.2333,37.1333,"36.2333,37.1333"
"26",44.8833,8.75,"44.8833,8.75"
"27",50.95,31.8167,"50.95,31.8167"
"28",45.2667,10.15,"45.2667,10.15"
"29",42.5333,-85.8833,"42.5333,-85.8833"
"30",26.9667,-105.3167,"26.9667,-105.3167"
"31",20.7458,32.4128,"20.7458,32.4128"
"32",35.2733,44.2156,"35.2733,44.2156"
"33",27.6667,78.25,"27.6667,78.25"
"34",26.5833,85.5667,"26.5833,85.5667"
"35",44.6167,-70.75,"44.6167,-70.75"
"36",48.7,37.5,"48.7,37.5"
"37",20.8833,76.8667,"20.8833,76.8667"
"38",0,0,"0,0"
"39",47.4667,-0.55,"47.4667,-0.55"
"40",-22.9667,-44.3167,"-22.9667,-44.3167"
"41",9.5333,39.7167,"9.5333,39.7167"
"42",25.15,105.1833,"25.15,105.1833"
"43",40.8106,140.7856,"40.8106,140.7856"
"44",53.5833,-2.7167,"53.5833,-2.7167"
"45",43.8667,5.3833,"43.8667,5.3833"
"46",-33,-66,"-33,-66"
"47",38.5,-94.3,"38.5,-94.3"
"48",-31.4167,-60.6667,"-31.4167,-60.6667"
"49",42.45,9.0333,"42.45,9.0333"
"50",31.805,-97.01,"31.805,-97.01"
"51",52.05,0.3,"52.05,0.3"
"52",43.0333,12.55,"43.0333,12.55"
"53",25.2542,80.625,"25.2542,80.625"
"54",20.0667,-103.6667,"20.0667,-103.6667"
"55",34.75,-87,"34.75,-87"
"56",34.3167,-96.15,"34.3167,-96.15"
"57",44.3833,5.1667,"44.3833,5.1667"
"58",36.1667,3.6667,"36.1667,3.6667"
"59",44.3333,3.2333,"44.3333,3.2333"
"60",43.0833,0.5833,"43.0833,0.5833"
"61",-21.4603,-49.9508,"-21.4603,-49.9508"
"62",46,13.5,"46,13.5"
"63",25,-103.5,"25,-103.5"
"64",2.7167,32.8333,"2.7167,32.8333"
"65",36.8,-108,"36.8,-108"
"66",48.6,38,"48.6,38"
"67",28.4833,78.5,"28.4833,78.5"
"68",35.9667,-82.4833,"35.9667,-82.4833"
"69",34.5,-88.6667,"34.5,-88.6667"
"70",5.3833,16.3833,"5.3833,16.3833"
"71",16.6667,101.1833,"16.6667,101.1833"
"72",-6.9167,107.6,"-6.9167,107.6"
"73",27.7,76.3333,"27.7,76.3333"
"74",30.4,78.2,"30.4,78.2"
"75",-6.3333,106,"-6.3333,106"
"76",43.95,-0.05,"43.95,-0.05"
"77",41.3667,2.1667,"41.3667,2.1667"
"78",42.3833,-2.5,"42.3833,-2.5"
"79",52.7333,84.0833,"52.7333,84.0833"
"80",52,9.1,"52,9.1"
"81",31.6167,76.8,"31.6167,76.8"
"82",52.5653,-1.3397,"52.5653,-1.3397"
"83",15.7833,-5.9,"15.7833,-5.9"
"84",52.0333,20.9358,"52.0333,20.9358"
"85",45.4167,-98.3167,"45.4167,-98.3167"
"86",38.25,-83.75,"38.25,-83.75"
"87",40.6681,-117.1891,"40.6681,-117.1891"
"88",11.0833,-0.1833,"11.0833,-0.1833"
"89",36.75,-93.5,"36.75,-93.5"
"90",39.8,-101.2,"39.8,-101.2"
"91",51.1667,-117.3333,"51.1667,-117.3333"
"92",53.0167,-4.1,"53.0167,-4.1"
"93",33.6,-96.4667,"33.6,-96.4667"
"94",-32.3333,-64.8667,"-32.3333,-64.8667"
"95",25.3667,82.9167,"25.3667,82.9167"
"96",32.25,-8.15,"32.25,-8.15"
"97",32.8667,10.8,"32.8667,10.8"
"98",39.0833,-89.15,"39.0833,-89.15"
"99",-26.1667,28.4167,"-26.1667,28.4167"
"100",30,-7,"30,-7"
"101",45.95,-67.55,"45.95,-67.55"
"102",-31.91,-58.3283,"-31.91,-58.3283"
"103",11.65,-3.65,"11.65,-3.65"
"104",41.6833,-3.8,"41.6833,-3.8"
"105",40.3058,-105.0233,"40.3058,-105.0233"
"106",42.5333,-73.8333,"42.5333,-73.8333"
"107",43.2167,-0.2333,"43.2167,-0.2333"
"108",33.8833,35.5,"33.8833,35.5"
"109",20.8833,74.8333,"20.8833,74.8333"
"110",26.5083,73.1153,"26.5083,73.1153"
"111",20.8333,71.4667,"20.8333,71.4667"
"112",22.6833,90.65,"22.6833,90.65"
"113",22.0833,86.9,"22.0833,86.9"
"114",53.1,23.2,"53.1,23.2"
"115",50.1333,27.1667,"50.1333,27.1667"
"116",12.45,-0.0833,"12.45,-0.0833"
"117",-33.1564,115.6764,"-33.1564,115.6764"
"118",13.7667,5.3,"13.7667,5.3"
"119",34.1667,-80.2833,"34.1667,-80.2833"
"120",25.3833,82.6,"25.3833,82.6"
"121",49.7833,30.1667,"49.7833,30.1667"
"122",60.4,25.8,"60.4,25.8"
"123",40.9167,-78.0833,"40.9167,-78.0833"
"124",36.8333,-97.3333,"36.8333,-97.3333"
"125",31.8333,-98.8333,"31.8333,-98.8333"
"126",49.3667,16.6333,"49.3667,16.6333"
"127",40.48,-89.0042,"40.48,-89.0042"
"128",33.8333,115.8333,"33.8333,115.8333"
"129",23,-102,"23,-102"
"130",12.5,0.7,"12.5,0.7"
"131",44.55,131.6333,"44.55,131.6333"
"132",44.8667,10.05,"44.8667,10.05"
"133",21.95,78.0333,"21.95,78.0333"
"134",54.2333,52.4833,"54.2333,52.4833"
