"","country","country_code","latitude","longitude"
"1","Antarctica","AQ",-76.7103,158.7838
"2","Antarctica","AQ",-76.7142,158.7785
"3","Antarctica","AQ",-76.7106,158.785
"4","Antarctica","AQ",-76.7214,158.7621
"5","Antarctica","AQ",-76.7101,158.7825
"6","Antarctica","AQ",-76.711,158.7864
"7","Antarctica","AQ",-76.7107,158.7863
"8","Antarctica","AQ",-76.718,158.8072
"9","Antarctica","AQ",-76.6889,159.3589
"10","Antarctica","AQ",-76.6842,159.3567
"11","Antarctica","AQ",-76.6856,159.3575
"12","Antarctica","AQ",-76.6856,159.3578
"13","Antarctica","AQ",-76.7175,158.7324
"14","Antarctica","AQ",-76.7174,158.7334
"15","Antarctica","AQ",-76.7017,159.4008
"16","Antarctica","AQ",-76.6582,159.3209
"17","Antarctica","AQ",-76.6584,159.3198
"18","Antarctica","AQ",-76.6933,159.383
"19","Antarctica","AQ",-76.6881,159.3608
"20","Antarctica","AQ",-76.6955,159.3308
"21","Antarctica","AQ",-76.6878,159.3606
"22","Antarctica","AQ",-76.6878,159.3603
"23","Antarctica","AQ",-76.6794,159.3428
"24","Antarctica","AQ",-76.6836,159.3389
"25","Antarctica","AQ",-76.6978,159.3975
"26","Antarctica","AQ",-76.7033,159.3686
"27","Antarctica","AQ",-76.7047,159.3633
"28","Antarctica","AQ",-76.6914,159.3878
"29","Antarctica","AQ",-76.6922,159.3905
"30","Antarctica","AQ",-76.6931,159.3922
"31","Antarctica","AQ",-76.6928,159.3922
"32","Antarctica","AQ",-76.6931,159.3919
"33","Antarctica","AQ",-76.6928,159.3917
"34","Antarctica","AQ",-76.715,158.7854
"35","Antarctica","AQ",-76.7119,158.7833
"36","Antarctica","AQ",-76.6634,159.3309
"37","Antarctica","AQ",-76.7675,159.3222
"38","Antarctica","AQ",-76.7147,158.7447
"39","Antarctica","AQ",-76.7317,158.8072
"40","Antarctica","AQ",-76.7514,159.3336
"41","Antarctica","AQ",-76.6986,159.3958
