"","country","country_code","latitude","longitude"
"1","Unknown","Unknown",0,0
"2","Unknown","Unknown",-22.9667,-44.3167
"3","Unknown","Unknown",20.8333,71.4667
"4","Unknown","Unknown",-33.1564,115.6764
"5","Unknown","Unknown",11.75,122.3333
"6","Unknown","Unknown",-31.6667,152.8333
"7","Unknown","Unknown",33.4333,127.2667
"8","Unknown","Unknown",-3,151
"9","Unknown","Unknown",1.1667,44.1667
"10","Unknown","Unknown",27.3333,35.6667
"11","Unknown","Unknown",-7,115.5
"12","Unknown","Unknown",-20,57
"13","Unknown","Unknown",38.1833,15.5667
"14","Unknown","Unknown",9.3333,80.8333
"15","Unknown","Unknown",32.1167,121.8
"16","Unknown","Unknown",39,-0.0333
"17","Unknown","Unknown",26.6667,50.15
"18","Unknown","Unknown",34.72,137.305
"19","Unknown","Unknown",31.3333,121.6667
"20","Unknown","Unknown",12.5,-137.7
"21","Unknown","Unknown",11.7,-137.8
"22","Unknown","Unknown",55.1833,-162.55
"23","Unknown","Unknown",26.2833,34.25
"24","Unknown","Unknown",72.8833,-25.1167
"25","Unknown","Unknown",-57.7867,-90.7933
"26","Unknown","Unknown",-33.8667,121.9167
"27","Unknown","Unknown",30.3117,-86.1667
"28","Unknown","Unknown",70.7333,-117.75
"29","Unknown","Unknown",18.4254,56.8226
"30","Unknown","Unknown",-40.7333,146.9667
"31","Unknown","Unknown",-1.9462,354.4733
"32","Unknown","Unknown",46.5,30.7667
"33","Unknown","Unknown",72.6833,143.5333
"34","Unknown","Unknown",29.9,-112.6833
"35","Unknown","Unknown",-76.2428,158.6563
"36","Unknown","Unknown",-76.2207,157.815
"37","Unknown","Unknown",-76.2475,157.9071
"38","Unknown","Unknown",-76.2472,158.5953
"39","Unknown","Unknown",-76.2318,158.3777
"40","Unknown","Unknown",-76.2212,157.8201
"41","Unknown","Unknown",-76.2199,158.3778
"42","Unknown","Unknown",-76.2203,158.3797
"43","Unknown","Unknown",-76.2207,158.3762
"44","Unknown","Unknown",-76.22,158.3768
"45","Unknown","Unknown",-76.239,158.2258
"46","Unknown","Unknown",-76.2208,158.374
"47","Unknown","Unknown",-76.2206,158.376
"48","Unknown","Unknown",-76.2217,157.7867
"49","Unknown","Unknown",-76.2201,158.3764
"50","Unknown","Unknown",-76.2199,158.3784
"51","Unknown","Unknown",-76.2199,158.3789
"52","Unknown","Unknown",-76.2198,158.379
"53","Unknown","Unknown",-76.2329,158.1023
"54","Unknown","Unknown",-76.2313,158.1021
"55","Unknown","Unknown",-76.2418,158.1576
"56","Unknown","Unknown",-76.2404,158.0901
"57","Unknown","Unknown",-76.22,158.379
"58","Unknown","Unknown",-76.2199,158.3783
"59","Unknown","Unknown",-76.2399,158.1472
"60","Unknown","Unknown",-76.2417,158.1574
"61","Unknown","Unknown",-76.2242,158.0457
"62","Unknown","Unknown",-76.22,158.3783
"63","Unknown","Unknown",-76.231,158.1015
"64","Unknown","Unknown",-76.2403,158.1488
"65","Unknown","Unknown",-76.2667,159.25
"66","Unknown","Unknown",-76.2139,158.4332
"67","Unknown","Unknown",-76.2161,158.545
"68","Unknown","Unknown",-76.2402,158.5981
"69","Unknown","Unknown",-76.2264,158.4455
"70","Unknown","Unknown",-76.2154,158.5392
"71","Unknown","Unknown",-76.2313,158.4426
"72","Unknown","Unknown",-76.2509,158.308
"73","Unknown","Unknown",-76.2066,158.4935
"74","Unknown","Unknown",-76.2108,158.4572
"75","Unknown","Unknown",-76.2073,158.4936
"76","Unknown","Unknown",-76.2174,158.397
"77","Unknown","Unknown",-76.215,158.4211
"78","Unknown","Unknown",-76.2094,158.468
"79","Unknown","Unknown",-76.2219,158.5361
"80","Unknown","Unknown",-76.2111,158.4474
"81","Unknown","Unknown",-76.2408,158.2389
"82","Unknown","Unknown",-76.2068,158.4849
"83","Unknown","Unknown",-76.2212,158.67
"84","Unknown","Unknown",-76.2178,158.6062
"85","Unknown","Unknown",-76.2068,158.5001
"86","Unknown","Unknown",-76.2378,158.2624
"87","Unknown","Unknown",-76.2423,158.2669
"88","Unknown","Unknown",-76.2233,158.6845
"89","Unknown","Unknown",-76.2361,158.3279
"90","Unknown","Unknown",-76.2384,158.2487
"91","Unknown","Unknown",-76.2231,158.5694
"92","Unknown","Unknown",-76.2061,158.5069
"93","Unknown","Unknown",-76.2361,158.3175
"94","Unknown","Unknown",-76.252,158.5972
"95","Unknown","Unknown",-76.2159,158.6198
"96","Unknown","Unknown",-76.2238,158.5619
"97","Unknown","Unknown",-76.2078,158.4936
"98","Unknown","Unknown",-76.2076,158.5093
"99","Unknown","Unknown",-76.229,158.2634
"100","Unknown","Unknown",-76.208,158.4829
"101","Unknown","Unknown",-76.2217,158.6847
"102","Unknown","Unknown",-76.2353,158.3267
"103","Unknown","Unknown",-76.219,158.4182
"104","Unknown","Unknown",-76.2069,158.5236
"105","Unknown","Unknown",-76.2223,158.4305
"106","Unknown","Unknown",-76.2437,158.2173
"107","Unknown","Unknown",-76.2262,158.6132
"108","Unknown","Unknown",-76.2498,158.2076
"109","Unknown","Unknown",-76.2117,158.4412
"110","Unknown","Unknown",-76.2196,158.3792
"111","Unknown","Unknown",-76.2101,158.4746
"112","Unknown","Unknown",-76.2173,158.4017
"113","Unknown","Unknown",-76.2388,158.2702
"114","Unknown","Unknown",-76.2081,158.4926
"115","Unknown","Unknown",-76.2061,158.4843
"116","Unknown","Unknown",-76.236,158.2172
"117","Unknown","Unknown",-76.2287,158.2662
"118","Unknown","Unknown",-76.2231,158.354
"119","Unknown","Unknown",-76.247,158.2423
"120","Unknown","Unknown",-76.2155,158.4004
"121","Unknown","Unknown",-76.2228,158.7929
"122","Unknown","Unknown",-76.2233,158.3541
"123","Unknown","Unknown",-76.2066,158.481
"124","Unknown","Unknown",-76.2181,158.8118
"125","Unknown","Unknown",-76.2234,158.3523
"126","Unknown","Unknown",-76.2132,158.4404
"127","Unknown","Unknown",-76.2354,158.7148
"128","Unknown","Unknown",-76.2206,158.3762
"129","Unknown","Unknown",-76.235,158.7604
"130","Unknown","Unknown",-76.2092,158.4756
"131","Unknown","Unknown",-76.2086,158.5105
"132","Unknown","Unknown",-76.2214,158.6719
"133","Unknown","Unknown",-76.2147,158.4273
"134","Unknown","Unknown",-76.2384,158.2886
